Id,Ranking,Name,Release_Date,Run_Time,IMDB_Rating
472,229,"The Seventh Seal",1949,"1h 44m",8.1
473,230,"Hotel Rwanda",1946,"2h 50m",8.1
474,231,Platoon,1998,"1h 57m",8.1
475,232,"The Exorcist",2004,"1h 20m",8.1
476,233,"The Iron Giant",2004,"1h 55m",8.1
477,234,Rush,2015,"1h 58m",8.1
478,235,"The Wizard of Oz",2009,"1h 33m",8.1
479,236,"Stand by Me",1957,"1h 36m",8.1
480,237,"The Battle of Algiers",2004,"2h 1m",8.1
481,238,"My Father and My Son",1986,2h,8.2
482,239,"The Passion of Joan of Arc",1973,"2h 2m",8.1
483,240,Obsession,1999,"1h 26m",8.1
484,241,"The Handmaiden",2013,"2h 3m",8.1
485,242,"Laapataa Ladies",1939,"1h 42m",8.3
486,243,Drishyam,1986,"1h 29m",8.4
